City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,st. john's,47.5649,-52.7093,6.1,93,75,10.8,CA,1701219248
122,acapulco de juarez,16.8634,-99.8901,27.03,80,89,1.66,MX,1701219418
123,lewiston orchards,46.3804,-116.9754,3.48,82,0,4.12,US,1701219418
124,beberibe,-4.1797,-38.1306,25.91,81,15,4.53,BR,1701219418
125,agat village,13.3886,144.6585,31.52,74,75,7.2,GU,1701219418
126,port lincoln,-34.7333,135.8667,16.89,75,100,6.31,AU,1701219323
127,preobrazheniye,42.9019,133.9064,-8.96,55,6,4.46,RU,1701219419
128,olyokminsk,60.3736,120.4264,-18.81,92,61,3.3,RU,1701219419
129,ilulissat,69.2167,-51.1,-12.01,63,26,5.62,GL,1701219419
130,gorontalo,0.5412,123.0595,28.12,84,100,0.31,ID,1701219301
131,timimoun,29.2639,0.231,13.21,21,0,1.54,DZ,1701219420
132,albany,42.6001,-73.9662,-1.7,71,93,2.68,US,1701218952
133,ambanja,-13.6833,48.45,24.2,89,15,1.02,MG,1701219420
134,mount isa,-20.7333,139.5,34.87,41,40,4.63,AU,1701219420
135,codrington,-38.2667,141.9667,16.51,76,100,11.13,AU,1701219420
136,qui nhon,13.7667,109.2333,24.34,83,97,4.88,VN,1701219420
137,ayacucho,-13.1583,-74.2239,16.47,69,100,2.4,PE,1701219421
138,kapuskasing,49.4169,-82.4331,-13.0,85,40,2.57,CA,1701219421
139,kingston,17.997,-76.7936,27.53,89,75,3.6,JM,1701219002
140,coracao de jesus,-16.6853,-44.365,23.01,48,30,1.15,BR,1701219421
141,arochukwu,5.3898,7.914,23.59,96,99,1.26,NG,1701219421
142,manali,13.1667,80.2667,25.05,92,100,2.47,IN,1701219422
143,wainwright,52.839,-110.8572,0.88,56,8,3.79,CA,1701219422
144,dongcun,36.7767,121.1597,3.54,45,100,3.81,CN,1701219422
145,stanley,54.868,-1.6985,0.85,88,75,2.06,GB,1701219423
